additional_info,category,rank,score,source,title,url
Type: Movie | Episodes: 1,Comedy,11,9.37,AniDB,Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare,https://anidb.net/anime/9384
Type: TV Special | Episodes: 2,Comedy,12,9.27,AniDB,Owarimonogatari (2017),https://anidb.net/anime/13033
Type: TV Series | Episodes: 13,Comedy,13,9.24,AniDB,Aria the Origination,https://anidb.net/anime/5424
Type: TV Series | Episodes: 22,Comedy,14,9.24,AniDB,Clannad: After Story,https://anidb.net/anime/5841
Type: TV Series | Episodes: 148,Comedy,15,9.20,AniDB,Hunter x Hunter (2011),https://anidb.net/anime/8550
Type: TV Series | Episodes: 11,Comedy,16,9.15,AniDB,Usagi Drop,https://anidb.net/anime/8211
Type: TV Series | Episodes: 10,Comedy,17,9.14,AniDB,Shingeki no Kyojin Season 3 (2019),https://anidb.net/anime/14444
Type: TV Series | Episodes: 50,Comedy,18,9.12,AniDB,Cross Game,https://anidb.net/anime/6424
Type: TV Series | Episodes: 13,Comedy,19,9.09,AniDB,Shouwa Genroku Rakugo Shinjuu (2016),https://anidb.net/anime/10960
Type: Movie | Episodes: 1,Comedy,20,9.06,AniDB,Kimi no Na wa.,https://anidb.net/anime/11829
