category,rank,title,score,url,additional_info,source
"Action, Adventure, Shounen",18,Attack on Titan The Final Season: The Final Chapters,N/A,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters,TV Special (2 eps) | 2023,AnimePlanet
"Action, Adventure, Shounen",19,Heaven Official's Blessing Special,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-special,Web (1 ep) | 2021,AnimePlanet
"Action, Adventure, Shounen",20,Hunter x Hunter (2011),N/A,https://www.anime-planet.com/anime/hunter-x-hunter-2011,TV (148 eps) | 2011 - 2014,AnimePlanet
Romance,1,Frieren: Beyond Journey's End,N/A,https://www.anime-planet.com/anime/frieren-beyond-journeys-end,TV (28 eps) | 2023 - 2024,AnimePlanet
Romance,2,The Apothecary Diaries,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries,TV (24 eps) | 2023 - 2024,AnimePlanet
Romance,3,The Apothecary Diaries 2nd Season,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries-2nd-season,TV (23+ eps) | 2025 - ?,AnimePlanet
Romance,4,Fullmetal Alchemist: Brotherhood,N/A,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,TV (64 eps) | 2009 - 2010,AnimePlanet
Romance,5,Solo Leveling Season 2: Arise from the Shadow,N/A,https://www.anime-planet.com/anime/solo-leveling-season-2-arise-from-the-shadow,TV (13 eps) | 2025,AnimePlanet
Romance,6,Heaven Official's Blessing 2nd Season,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-2nd-season,Web (12 eps) | 2023 - 2024,AnimePlanet
Romance,7,The Master of Diabolism 3,N/A,https://www.anime-planet.com/anime/the-master-of-diabolism-3,Web (12 eps) | 2021,AnimePlanet
Romance,8,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,N/A,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,TV (11 eps) | 2021 - 2022,AnimePlanet
Romance,9,ALIEN STAGE,N/A,https://www.anime-planet.com/anime/alien-stage,Web (11 eps) | 2022,AnimePlanet
Romance,10,Fruits Basket the Final Season,N/A,https://www.anime-planet.com/anime/fruits-basket-the-final-season,TV (13 eps) | 2021,AnimePlanet
Romance,11,Attack on Titan 3rd Season: Part II,N/A,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,TV (10 eps) | 2019,AnimePlanet
Romance,12,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,N/A,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,TV (10 eps) | 2016,AnimePlanet
Romance,13,Bleach: Thousand-Year Blood War,N/A,https://www.anime-planet.com/anime/bleach-thousand-year-blood-war,TV (13 eps) | 2022,AnimePlanet
Romance,14,A Silent Voice,N/A,https://www.anime-planet.com/anime/a-silent-voice,Movie (1 ep) | 2016,AnimePlanet
Romance,15,Haikyuu!! Second Season,N/A,https://www.anime-planet.com/anime/haikyuu-second-season,TV (25 eps) | 2015 - 2016,AnimePlanet
Romance,16,your name.,N/A,https://www.anime-planet.com/anime/your-name,Movie (1 ep) | 2016,AnimePlanet
Romance,17,Jujutsu Kaisen,N/A,https://www.anime-planet.com/anime/jujutsu-kaisen,TV (24 eps) | 2020 - 2021,AnimePlanet
Romance,18,Attack on Titan The Final Season: The Final Chapters,N/A,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-the-final-chapters,TV Special (2 eps) | 2023,AnimePlanet
Romance,19,Heaven Official's Blessing Special,N/A,https://www.anime-planet.com/anime/heaven-officials-blessing-special,Web (1 ep) | 2021,AnimePlanet
Romance,20,Hunter x Hunter (2011),N/A,https://www.anime-planet.com/anime/hunter-x-hunter-2011,TV (148 eps) | 2011 - 2014,AnimePlanet
Ecchi,1,Frieren: Beyond Journey's End,N/A,https://www.anime-planet.com/anime/frieren-beyond-journeys-end,TV (28 eps) | 2023 - 2024,AnimePlanet
Ecchi,2,The Apothecary Diaries,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries,TV (24 eps) | 2023 - 2024,AnimePlanet
Ecchi,3,The Apothecary Diaries 2nd Season,N/A,https://www.anime-planet.com/anime/the-apothecary-diaries-2nd-season,TV (23+ eps) | 2025 - ?,AnimePlanet
Ecchi,4,Fullmetal Alchemist: Brotherhood,N/A,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,TV (64 eps) | 2009 - 2010,AnimePlanet
Ecchi,5,Solo Leveling Season 2: Arise from the Shadow,N/A,https://www.anime-planet.com/anime/solo-leveling-season-2-arise-from-the-shadow,TV (13 eps) | 2025,AnimePlanet
